,0
JudasLady Gaga,"[Intro]
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as

[Interlude]
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga

[Verse 1]
When he calls to me, I am ready
I'll wash his feet with my hair if he needs
Forgive him when his tongue lies through his brain
Even after three times he betrays me

[Pre-Chorus]
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
I'll bring him down
Bring him down, down
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
A king with no crown
King with no crown

[Chorus]
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as

[Interlude]
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga

[Verse 2]
I couldn't love a man so purely
Even prophets forgave his crooked ways
I've learned love is like a brick
You can build a house or sink a dead body

[Pre-Chorus]
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
I'll bring him down
Bring him down, down
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
A king with no crown
King with no crown

[Chorus]
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as

[Breakdown]
Ew...
In the most Biblical sense, I am beyond repentance
Fame hooker, prostitute, wench vomits her mind
But in the cultural sense, I just speak in future tense
Judas, kiss me, if offensed, or wear ear condom next time

[Bridge]
I wanna love you
But something’s pulling me away from you
Jesus is my virtue and
Judas is the demon I cling to
I cling to

[Chorus]
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as
Whoa-whoa-whoa-whoa-whoa
I’m in love with Juda-as, Juda-as

[Outro]
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga"
The Show Goes OnLupe Fiasco,"[Intro]
LA-SER
Yeah, yeah
Kane is in the building, nigga

[Chorus]
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on, alright
Already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on

[Verse 1]
Have you ever had the feelin' that you was bein' had?
Don't that shit there make you mad?
They treat you like a slave
Put chains all on your soul and put whips up on your back
They be lyin' through they teeth
Hope you slip up off your path
I don't switch up, I just laugh
Put my kicks up on they desk
Unaffected by they threats
Then get busy on they ass
See, that's how that Chi-Town made me
That's how my daddy raised me
That glitterin' may not be gold
Don't let nobody play me
If you are my homeboy, you never have to pay me
Go in and put your hands up
When times is hard you stand up
L-U-P the man, 'cause the brand that the fans trust
So even if they ban us, they'll never slow my plans up

[Chorus]
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on, alright
Already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on

[Verse 2]
One in the air for the people ain't here
Two in the air for the father that's there
Three in the air for the kids in the ghetto
Four for the kids that don't wanna be there
None for the niggas tryna hold them back
Five in the air for the teachers not scared
To tell those kids that's livin' in the ghetto
That the niggas holdin' back, that the world is theirs
Yeah, yeah, the world is yours, I was once that little boy
Terrified of the world, now I'm on a world tour
I would give up everything, even start a world war
For these ghetto girls and boys
I'm rappin' round the world for
Africa to New York, Haiti, then I detour
Oakland out to Auckland, Gaza Strip to Detroit
Say hip-hop only destroy, tell 'em look at me, boy
I hope your son don't have a gun and never be a d-boy

[Chorus]
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on, alright
Already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on

[Verse 3]
So, no matter what you been through
No matter what you into
No matter what you see when you look outside your window
Brown grass or green grass, picket fence or barbed wire
Never ever put them down, you just lift your arms higher
Raise 'em 'til your arms tired, let 'em know you here
That you strugglin', survivin', that you gon' persevere
Yeah, ain't nobody leavin', nobody goin' home
Even if they turn the lights out, the show is goin' on

[Chorus]
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on, alright
Already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder
When they would see the sun up
Just remember when you come up
The show goes on

[Outro]
The show goes on
The show goes on
The show goes on
The show goes on"
Give Me EverythingPitbull,"[Intro: Pitbull]
Me not workin' hard? Yeah right
Picture that with a Kodak
Or, better yet, go to Times Square
Take a picture of me with a Kodak
Took my life from negative to positive
I just want y'all know that
And tonight, let's enjoy life
Pitbull, Nayer, Ne-Yo, tell us right

[Chorus: Ne-Yo & Nayer]
Tonight, I want all of you tonight
Give me everything tonight
For all we know, we might not get tomorrow
Let's do it tonight
Don't care what they say
Or what games they play
Nothing is enough
Till they handle love
Let's do it tonight
I want you tonight
I want you to stay
I want you tonight

[Post-Chorus: Ne-Yo]
Grab somebody sexy, tell 'em hey (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight

[Verse 1: Pitbull]
Take advantage of tonight (Yeah)
'Cause tomorrow I'm off to Dubai to perform for a princess
But tonight, I can make you my queen
And make love to you endless (Yeah)
This is insane: the way the name growin'
Money keep flowin', hustlers move aside
So, I'm tiptoein', to keep flowin'
I got it locked up like Lindsay Lohan (Woo)
Put it on my life, baby
I'll make you feel right, baby
Can't promise tomorrow, but I promise tonight (Dale)

[Pre-Chorus: Pitbull]
Excuse me (Excuse me)
And I might drink a little more than I should tonight (Tonight)
And I might take you home with me if I could tonight (Tonight)
And baby, I'ma make you feel so good, tonight
'Cause we might not get tomorrow

[Chorus: Ne-Yo & Nayer]
Tonight, I want all of you tonight
Give me everything tonight
For all we know, we might not get tomorrow
Let's do it tonight
Don't care what they say
Or what games they play
Nothing is enough
Till they handle love
Let's do it tonight
I want you tonight
I want you to stay
I want you tonight

[Post-Chorus: Ne-Yo]
Grab somebody sexy, tell 'em hey (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight

[Verse 2: Pitbull]
Reach for the stars, and if you don't grab them
At least you'll fall on top of the world
Think about it, 'cause if you slip, I'm gon' fall on top your girl, haha
What I'm involved with is deeper than the Masons, baby
Baby, and it ain't no secret
My granny's from Cuba, but I'm an American Idol
Gettin' money like Seacrest
Put it on my life, baby (Baby)
I'll make you feel right, baby (Baby)
Can't promise tomorrow, but I promise tonight (Dale)

[Pre-Chorus: Pitbull]
Excuse me (Excuse me)
And I might drink a little more than I should tonight (Tonight)
And I might take you home with me if I could tonight (Tonight)
And, baby, I'ma make you feel so good, tonight
'Cause we might not get tomorrow

[Chorus: Ne-Yo & Nayer]
Tonight, I want all of you tonight
Give me everything tonight
For all we know, we might not get tomorrow
Let's do it tonight
Don't care what they say
All the games they play
Nothing is enough
Till they handle love
Let's do it tonight
I want you tonight
I want you to stay
I want you tonight

[Post-Chorus: Ne-Yo]
Grab somebody sexy, tell 'em hey (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight

[Outro: Pitbull]
Excuse me (Excuse me)
But I might drink a little bit more than I should tonight
And I might take you home with me if I could tonight
And I think you should let me 'cause I look good tonight
'Cause we might not get tomorrow
(Tomorrow, tomorrow, tomorrow)"
Tonight TonightHot Chelle Rae,"[Verse 1]
It's been a really, really messed up week
Seven days of torture, seven days of bitter
And my girlfriend went and cheated on me
She's a California dime, but it's time for me to quit her

[Pre-Chorus]
La, la, la, whatever
La, la, la, it doesn't matter
La, la, la, oh, well
La, la, la

[Chorus]
We're going at it tonight, tonight
There's a party on the rooftop top of the world
Tonight, tonight, and we're dancing on the edge of the Hollywood sign
I don't know if I'll make it, but watch how good I'll fake it
It's alright, alright, tonight, tonight

[Verse 2]
Woke up with a strange tattoo
Not sure how I got it
Not a dollar in my pocket
And it kinda looks just like you
Mixed with Zach Galifianakis, huh

[Pre-Chorus]
La, la, la, whatever
La, la, la, it doesn't matter
La, la, la, oh, well
La, la, la

[Chorus]
We're going at it tonight, tonight
There's a party on the rooftop top of the world
Tonight, tonight, and we're dancing on the edge of the Hollywood sign
I don't know if I'll make it, but watch how good I'll fake it
It's alright, alright, tonight, tonight

[Post-Chorus]
You got me singing like, whoa
C'mon! Oh, it doesn't matter, whoa
Everybody now, oh!

[Refrain]
Just don't stop, let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party, dance if I want to
We can get crazy, let it all out!
Just don't stop, let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party, dance if I want to
We can get crazy, let it all out!

[Bridge]
It's you and me, and we're runnin' this town
And it's me and you, and we're shakin' the ground
And ain't nobody going to tell us to go
'Cause this is our show!

Everybody! Whoa! C'mon!
Oh, all you animals!
Whoa! Let me hear you now
Oh!

[Chorus]
Tonight, tonight
There's a party on the rooftop-top of the world
Tonight, tonight, and we're dancing on the edge of the Hollywood sign!
I don't know if I'll make it, but watch how good I'll fake it
It's alright, alright, tonight, tonight
It's alright, alright, tonight, tonight
Yeah, It's alright, alright, tonight, tonight

[Post-Chorus]
Just singing like whoa, c'mon
Oh, all you party people
Whoa, all you singletons
Oh, even the white kids!

[Refrain]
Just don't stop, let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party, dance if I want to
We can get crazy, let it all out!
Just don't stop, let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party, dance if I want to
We can get crazy, let it all out!
It's..."
Who SaysSelena Gomez,"[Intro]
I wouldn't wanna be anybody else
Hey

[Verse 1]
You made me insecure
Told me I wasn't good enough
But who are you to judge
When you're a diamond in the rough?
I'm sure you got some things
You'd like to change about yourself
But when it comes to me
I wouldn't wanna be anybody else

[Pre-Chorus]
Na, na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na, na
I'm no beauty queen, I'm just beautiful me
Na, na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na, na
You've got every right to a beautiful life
C'mon

[Chorus]
Who says?
Who says you're not perfect?
Who says you're not worth it?
Who says you're the only one that's hurting?
Trust me, that's the price of beauty
Who says you're not pretty?
Who says you're not beautiful?
Who says?

[Verse 2]
It's such a funny thing
How nothing's funny when it's you
You tell 'em what you mean
But they keep whiting out the truth
It's like the work of art
That never gets to see the light
Keep you beneath the stars
Won't let you touch the sky

[Pre-Chorus]
Na, na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na, na
I'm no beauty queen, I'm just beautiful me
Na, na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na, na
You've got every right to a beautiful life
C'mon

[Chorus]
Who says?
Who says you're not perfect?
Who says you're not worth it?
Who says you're the only one that's hurting?
Trust me, that's the price of beauty
Who says you're not pretty?
Who says you're not beautiful?
Who says?

[Bridge]
Who says you're not star potential?
Who says you're not presidential?
Who says you can't be in movies?
Listen to me, listen to me
Who says you don't pass the test?
Who says you can't be the best?
Who said, who said?
Would you tell me who said that?
Yeah, who said?

[Chorus]
Who says?
Who says you're not perfect? (Yeah)
Who says you're not worth it? (Yeah, yeah)
Who says you're the only one that's hurting?
Trust me, that's the price of beauty (Hey, yeah, beauty)
Who says you're not pretty? (Who said?)
Who says you're not beautiful? (I'm just beautiful me)
Who says?

[Outro]
Who says you're not perfect?
Who says you're not worth it?
Who says you're the only one that's hurting?
Trust me, that's the price of beauty (yeah)
Who says you're not pretty? (Who says you're not beautiful?)
Who says you're not beautiful?
Who says?"
Party Rock AnthemLMFAO,"[Intro]
Party Rock
Yeah
Woo!
Let's go!

[Chorus: Redfoo]
Party rock is in the house tonight
Everybody just have a good time (Yeah)
And we gon' make you lose your mind (Woo!)
Everybody just have a good time (Clap!)
Party rock is in the house tonight (Oh!)
Everybody just have a good time (I can feel it, baby!)
And we gon' make you lose your mind (Yeah)
We just wanna see you...
Shake that!

[Verse 1: SkyBlu]
In the club: Party rock
Looking for your girl? She on my jock (Huh)
Non-stop when we in the spot
Booty moving weight like she on the block (Woo!)
Where the drank? I gots to know
Tight jeans, tattoo, 'cause I'm rock and roll
Half-black, half-white: domino
Gainin' money, Oprah, dough
Yo! I'm running through these hoes like Drano
I got that devilish flow rock and roll no halo, we party rock!
Yeah, that’s the crew that I'm reppin'
On the rise to the top, no Led in our Zeppelin (Hey!)

[Chorus: Redfoo]
Party rock is in the house tonight (Woo!)
Everybody just have a good time (Yeah)
And we gon' make you lose your mind
Everybody just have a good time (Let's go!)
Party rock is in the house tonight
Everybody just have a good time (I can feel it, baby!)
And we gon' make you lose your mind
We just wanna see you...
Shake that!

Every day I'm shufflin' (Shake)
Shufflin', shufflin' (Shake)

[Verse 2: Redfoo]
Step up fast and be the first girl to make me throw this cash
We get money, don't be mad, now stop - hatin' is bad
One more shot for us (Another round!)
Please fill up my cup (Don't mess around!)
We just wanna see (You shake it now!)
Now you wanna be (You're naked now!)

[Bridge: Lauren Bennett & Redfoo]
Get up, get down, put your hands up to the sound
Get up, get down, put your hands up to the sound
Get up, get down, put your hands up to the sound (Woo!)
Put your hands up to the sound
Put your hands up to the sound (Let's go!)
Get up, get up, get up
Get up, get up, get up
Get up, get up, get up
Put your hands up to the sound
To the sound
Put your hands up (Woo!)
Put your hands up
Put your hands up
Put your hands up

[Chorus: Redfoo]
Party rock is in the house tonight (Put your hands up, woo!)
Everybody just have a good time (Put your hands up)
And we gon' make you lose your mind (Put your hands up)
Everybody just have a good, good, good time

Oh-oh-oh-oh-oh (Put your hands up)
Oh-oh-oh-oh-oh (I can feel it, baby!)
Oh-oh-oh-oh-oh (Put your hands up)
Oh-oh-oh-oh-oh (Put your hands up)
Shake that!
Every day I'm shu-shufflin'
Put yo', Put yo' (Hands up)
Put yo', Put yo' (Yeah)
Put yo', Put yo' (Woo!)
(Hands up)
Put yo', Put yo' (Hands up)
Put your hands up
Put your hands up
Put your hands up"
Roll UpWiz Khalifa,"[Intro]
I roll up
I roll up
I roll up
Shawty I roll up
I roll up
I roll up

[Verse 1]
It's your anniversary isn't it
And your man ain't acting right
So you packin’ your Damier luggage up callin’ my cell phone, try and catch a flight
You know one thing straight, I’ll be there girl whenever you call me
When you at home that's your man, soon as you land you say that's all me
But shit ain't all G with him no more, you ain't entertained
Since I meet you a couple months ago you ain't been the same
Not sayin I’m the richest man alive but I’m in the game
As long as you keep it 100 I'mma spend this change

[Hook]
Whenever you need me
Whenever you want me
You know you can call me, I’ll be there shortly
Don’t care what your friends say, cause they don't know me
I can be your best friend, and you be my homie
I ain't gonna flex, I’m not gonna front
You know if I ball, then we all gonna stunt
Send her my way, she ain't gotta hold up
Whenever you call baby I roll up, I roll up, I roll up
Whenever you call baby I roll up, I roll up, I roll up
Whenever you call baby I roll up

[Verse 2]
I try to stay out your business
But on the real, you’re so obvious
And if you keep fitting me in your plans and fuckin' up, your man's gonna catch onto us
That white sand surrounding us
He be handcuffing, he should work for them officers
If you rolling I got a spot where I can put you on this medical, and send you home doctored up
You wanna ride with me cause you say that he boring
Wake up you rollin’ weed, cooking eggs in the morning
Ain't scared to spend this money I know I’ll make more of it
First you was in the sky, now you say you in orbit

[Hook]
Whenever you need me
Whenever you want me
You know you can call me, I’ll be there shortly
Don’t care what your friends say, cause they don't know me
I can be your best friend, and you be my homie
I ain't gonna flex, I’m not gonna front
You know if I ball, then we all gonna stunt
Send her my way, she ain't gotta hold up
Whenever you call baby I roll up, I roll up, I roll up
Whenever you call baby I roll up, I roll up, I roll up
Whenever you call baby I roll up

[Bridge]
No matter where I am
No matter where you are
I’ll be there when its over baby
Cause I was there from the start
No matter if I’m near
Don’t matter if you're far
All you do is pick the phone up lady
And I’ll be there when you call

[Hook]
Whenever you need me
Whenever you want me
You know you can call me, I’ll be there shortly
Don’t care what your friends say, cause they don't know me
I can be your best friend, and you be my homie
I ain't gonna flex, I’m not gonna front
You know if I ball, then we all gonna stunt
Send her my way, she ain't gotta hold up
Whenever you call baby I roll up
Whenever you need me
Whenever you want me
You know you can call me, I’ll be there shortly
Don’t care what your friends say, cause they don't know me
I can be your best friend, and you be my homie
I ain't gonna flex, I’m not gonna front
You know if I ball, then we all gonna stunt
Send her my way, she ain't gotta hold up
Whenever you call baby I roll up, I roll up, I roll up
Whenever you call baby I roll up, I roll up, I roll up
Whenever you call baby I roll up

I roll up, I roll up
Whenever you call baby I roll up"
BoyfriendBig Time Rush,"[Chorus: All]
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boy

[Verse 1: Kendall Schmidt & James Maslow]
Have you ever had the feeling you're drawn to someone, yeah
And it isn't anything they could've said or done? (Oh-oh-oh-oh)
And every day I see you on your own and I can't believe that you're alone (Alone)
But I overheard your girls and this is what they said

[Pre-Chorus: Kendall Schmidt]
Looking for a, looking for a
That you're looking for a boyfriend (Hey!), I see that (See that)
Give me time, you know, I'm gonna be there (Be there)
Don't be scared to come, put your trust in me
Can't you see all I really wanna be
Is your boyfriend? (Hey!), can't fight that (Fight that)
Let me down, you know, I'm coming right back (Right back)
I don't care at all what you done before
All I really want is to be your (Be your)

[Chorus: All]
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Hey!)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Hey!)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend

[Verse 2: James Maslow & Kendall Schmidt]
Let me take a little moment to find the right words (To find the right words)
So when I kick it to you it ain't something that you've heard (Something that you heard)
I don't know what kind of guy that you prefer
But I know I gotta put myself for worse
See I think got the kind of love that you deserve and I heard that

[Pre-Chorus: Kendall Schmidt]
That you're looking for a boyfriend (Boyfriend), I see that (See that)
Give me time, you know, I'm gonna be there (Be there)
Don't be scared to come, put your trust in me
Can't you see all I really wanna be
Is your boyfriend? (Hey!), can't fight that (Fight that)
Let me down, you know, I'm coming right back (Right back)
I don't care at all what you done before
All I really want is to be your (Be your)

[Chorus: All]
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Hey!)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend

[Bridge: Carlos Pena Jr.]
If you tell me where, I'm waiting here
Every day like Slumdog Millionaire
Bigger than the Twilight love affair
I'll be here, girl, I swear

[Pre-Chorus: Kendall Schmidt & Logan Henderson]
Looking for a, looking for a
That you're looking for a boyfriend (Hey!), I see that (See that)
Give me time, you know, I'm gonna be there (Be there)
Don't be scared to come, put your trust in me
Can't you see all I really want to be
Is your boyfriend? (Hey!), can't fight that (Fight that)
Let me down, you know, I'm coming right back (Right back)
I don't care at all what you done before
All I really want is to be your (Be your; be your)

[Chorus: Logan Henderson, All]
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Your boyfriend)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Your boyfriend)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
All I really want is to be your (Be your boyfriend; be your)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Uh, uh-uh)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Ye-ye-yeah)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Hey!)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
All I really want is to be your (Be your; be your)

[Outro: All]
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
Your boy, boy, bo-bo-boy, bo-bo-boyfriend (Hey!)
Your boy, boy, bo-bo-boy, bo-bo-boyfriend
All I really want is to be your"
HelloMartin Solveig,"[Chorus: Dragonette]
I could stick around and get along with you
Hello, oh, oh, oh
It doesn't really mean that I'm into you
Hello, oh, oh, oh

[Verse 1: Dragonette]
You're alright but I'm here, darling, to enjoy the party
Don't get too excited 'cause that's all you'll get from me, hey
Yeah, I think you're cute, but really you should know

[Chorus 2: Dragonette]
I just came to say hello
Hello, hello, hello, oh, oh, oh
I'm not the kinda girl to get messed up with you
Hello, oh, oh, oh
I'mma let you try to convince me to
Hello, oh, oh, oh

[Verse 2: Dragonette]
Oh, it's alright, I'm getting dizzy, just enjoy the party
It's okay with me if you don't have that much to say, hey
Kinda like this game, but there's something you should know

[Chorus 3: Dragonette]
I just came to say hello
Hey, hey!

[Chorus: Dragonette]
I could stick around and get along with you
Hello, oh, oh, oh
Doesn't really mean that I'm into you
Hello, oh, oh, oh

[Bridge: Dragonette]
You're alright but I'm here, darling, to enjoy the party, hey
You're alright but I'm here, darling, to enjoy the party, hey
You're alright but I'm here, darling, to enjoy the party, hey
You're alright but I'm here, darling, to enjoy the party, hey
You're alright but I'm here, darling, to the party, hey
You're alright but I'm here, darling, to the party, hey
You're alright but I'm here, darling, to the party, hey
You're alright but I'm here, darling, to the party, hey

[Chorus 2: Dragonette]
I just came to say hello
Hello, hello, hello, oh, oh, oh
I'm not the kinda girl to get messed up with you
Hello, oh, oh, oh
I'mma let you try to convince me to
Hello, oh, oh, oh

[Verse 2: Dragonette]
Oh, it's alright, I'm getting dizzy, just enjoy the party
It's okay with me if you don't have that much to say, hey
Kinda like this game, but there's something you should know

[Chorus 3: Dragonette]
I just came to say hello
Hey, hey!"
Say Hello To Goode',"Do me wrong, do me right
Tell me lies but hold me tight
Save your goodbyes for the morning light
But don't let me be lonely tonight

Say goodbye and say hello
Sure enough good to see you, but it's time to go
Don't say yes but please don't say no
I don't want to be lonely tonight

Go away then, damn you, go on and do as you please yeah
You ain't gonna see me gettin' down on my knees
I'm undecided, and your heart's been divided
You've been turnin' my world upside down

Do me wrong, do me right right now, baby
Go on and tell me lies but hold me tight
Save your goodbyes for the morning light, morning light
But don't let me be lonely tonight

I don't want to be lonely tonight, no, no
I don't want to be lonely tonight

I don't want to be lonely tonight"
Good LifeOneRepublic,"[Verse 1]
Woke up in London yesterday
Found myself in the city near Piccadilly
Don't really know how I got here
I got some pictures on my phone
New names and numbers that I don't know
Address to places like Abbey Road
Day turns to night, night turns to whatever we want
We're young enough to say

[Chorus]
Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

[Verse 2]
To my friends in New York, I say hello
My friends in L.A., they don't know
Where I've been for the past few years or so
Paris to China to Colorado
Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories, but please tell me-e-e-e
What there's to complain about

[Pre-Chorus]
When you're happy like a fool
Let it take you over
When everything is out
You got to take it in

[Chorus]
Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life
Oh, a good, good life
Yeah
Oh, oh

[Bridge]
Hopelessly, I feel like there might be something that I'll miss
Hopelessly, I feel like the window closes oh so quick
Hopelessly, I'm taking a mental picture of you now
'Cause hopelessly, the hope is we have
So much to feel good about

[Chorus]
Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

[Outro]
Oh, yeah
Good, good life
Good life
Ooh, ooh
Oh
Listen, to my friends in New York, I say hello
My friends in L.A., they don't know
Where I've been for the past few years or so
Paris to China to Colorado
Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories, but please tell me-e-e-e
What there's to complain about"
