,Lyrics
And I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it

[Verse 2]
And poison me, daddy
I got the Jones right through my bones
Write it on a piece of stone
A beach of drowning three-year olds
Rest in peace Lil Peep
The poetry is in the streets
Jesus save us
Modernity has failed us

[Chorus]
And I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
I'd love it if we made it

Tell me something I didn't know

[Bridge]
Consultation
Degradation
Fossil fueling
Masturbation
Immigration
Liberal kitsch
Kneeling on a pitch

[Verse 3]
""I moved on her like a bitch!""
Excited to be indicted
Unrequited house with seven pools
""Thank you Kanye, very cool!""
The war has been incited
And guess what, you're all invited
And you're famous
Modernity has failed us

[Outro]
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
Tell me something I didn't know
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it"
S.O.S. (Sawed Off Shotgun)The Glorious Sons,"[Verse 1]
Mother, I don't wanna take my medicine
24 years in the gutter again, I'm losing it
I'm losing it

[Verse 2]
Everybody's acting like they're all alright
I can barely get myself to sleep at night, I'm sick of it
Yeah, I'm sick of it

[Chorus]
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun

[Verse 3]
I'd rather be crazy than to take these pills
I'm sick of being okay against my will
I'm losing it, I'm losing it

[Verse 4]
Ain't a thing in this world that I'm gonna miss
It's all fake smiles and leather jackets
We're full of it, yeah, we're full of shit

[Pre-Chorus]
I don't know who to trust, ooh

[Chorus]
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun

[Bridge]
I'm losing it
I bought a sawed-off shotgun
I'm losing it
I bought a sawed-off shotgun

[Pre-Chorus]
I don't know who to trust
Mainly people like us

[Outro]
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun
Yeah, they sent the taxman
I lost my job, and
You got hooked on oxycodone
They shut the lights off
They took the car, and
I bought a sawed-off shotgun"
Fat Bottomed GirlsQueen,"[Intro: Brian May & Roger Taylor]
Are you gonna take me home tonight?
Oh, down beside that red firelight?
Are you gonna let it all hang out?
Fat bottomed girls, you make the rockin' world go 'round

[Verse 1: Freddie Mercury]
Hey!
I was just a skinny lad, never knew no good from bad
But I knew life before I left my nursery, huh
Left alone with big fat Fanny, she was such a naughty nanny
Hey, big woman, you made a bad boy out of me
Hey, hey
Woo!

[Verse 2]
I've been singing with my band, 'cross the water, 'cross the land
I've seen every blue eyed floozy on the way
But their beauty and their style went kinda smooth after a while
Take me to them dirty ladies every time
Come on

[Chorus: Brian May & Roger Taylor]
Oh, won't you take me home tonight
Oh, down beside your red firelight?
Oh, and you give it all you got
Fat bottomed girls, you make the rockin' world go 'round
Fat bottomed girls, you make the rockin' world go 'round

[Verse 3: Freddie Mercury]
Hey, listen here
Now your mortgages and homes, I got stiffness in the bones
Ain't no beauty queens in this locality, I tell you
Oh, but I still get my pleasure, still got my greatest treasure
Hey, big woman, you gonna make a big man of me
Now, get this

[Chorus: Brian May, Roger Taylor & Freddie Mercury]
(Oh, I know) Are you gonna take me home tonight? (Please)
Oh, down beside that red firelight?
Are you gonna let it all hang out?
Fat bottomed girls, you make the rockin' world go 'round (Yeah)
Fat bottomed girls, you make the rockin' world go 'round
Get on your bikes and ride!

[Outro: Freddie Mercury, (Brian May & Roger Taylor)]
Ooh, yeah
Oh, yeah
Them fat bottomed girls
(Fat bottomed girls)
Yeah, yeah, yeah
Alright, ride 'em cowboy
(Fat bottomed girls)
Yes, yes!"
Radio Ga GaQueen,"[Intro]
(Radio...)
(Radio...)

[Verse 1]
I'd sit alone and watch your light
My only friend through teenage nights
And everything I had to know
I heard it on my radio
You gave them all those old time stars
Through wars of worlds invaded by Mars
You made them laugh, you made them cry
You made us feel like we could fly (Radio)
So don't become some background noise
A backdrop for the girls and boys
Who just don't know or just don't care
And just complain when you're not there

[Pre-Chorus]
You had your time, you had the power
You've yet to have your finest hour
Radio (Radio)

[Chorus]
All we hear is Radio ga ga
Radio goo goo
Radio ga ga
All we hear is Radio ga ga
Radio blah blah
Radio, what's new?
Radio, someone still loves you

[Verse 2]
We watch the shows, we watch the stars
On videos for hours and hours
We hardly need to use our ears
How music changes through the years
Let's hope you never leave, old friend
Like all good things on you we depend
So stick around 'cause we might miss you
When we grow tired of all this visual

[Pre-Chorus]
You had your time, you had the power
You've yet to have your finest hour
Radio (Radio)

[Chorus]
All we hear is Radio ga ga
Radio goo goo
Radio ga ga
All we hear is Radio ga ga
Radio goo goo
Radio ga ga
All we hear is Radio ga ga
Radio blah blah
Radio, what's new?
Someone still loves you!

[Bridge]
(Radio ga ga  Radio ga ga)
(Radio ga ga  Radio ga ga)
(Radio ga ga  Radio ga ga)

[Outro]
You had your time, you had the power
You've yet to have your finest hour
Radio (Radio)"
Crazy Little Thing Called LoveQueen,"[Intro]

[Chorus]
This thing called love
I just can't handle it
This thing called love
I must get 'round to it, I ain't ready
Crazy little thing called love

[Verse 1]
A-this thing (This thing) called love (Called love)
It cries (Like a baby) in a cradle all night
It swings (Woo, woo), it jives (Woo, woo)
It shakes all over like a jelly fish, woo, I kinda like it
Crazy little thing called love

[Bridge]
There goes my baby
She knows how to rock 'n' roll
She drives me crazy
She gives me hot and cold fever
Then she leaves me in a cool, cool sweat

[Break]

[Verse 2]
I gotta be cool, relax, get hip
And get on my tracks
Take a back seat, hitch-hike
And take a long ride on my motorbike until I'm ready
Crazy little thing called love

[Guitar Solo]

[Verse 3]
Yeah
I gotta be cool, relax, get hip
And get on my tracks
Take a back seat, hitch-hike (Ah hum, ah hum)
And take a long ride on my motorbike
Until I'm ready (Ready Freddie)
Crazy little thing called love

[Chorus]
This thing called love
I just can't handle it
This thing called love
I must get 'round to it
I ain't ready (Ooh ooh ooh ooh)

[Outro]
Crazy little thing called love
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah"
When Legends RiseGodsmack,"[Verse 1]
Legs are tired, these hands are broken
Alone I try with words unspoken
Silent cry, my breath is frozen
With blinded eyes, I fear myself

[Chorus]
It's burning down, it's burning high
When ashes fall the legends rise
We burned it out a mile wide
When ashes fall the legends rise

[Verse 2]
My throat is dry, my vision's fading
I'm paralyzed and left here waiting
Taking time just one step forward
Won't lose my mind, I'm here to stay

[Chorus]
It's burning down, it's burning high
When ashes fall the legends rise
We burned it out a mile wide
When ashes fall the legends rise

[Bridge]
Whoa
Legends rise
Whoa
Legends rise (Legends rise, rise, rise)
Legends rise (Rise, rise, rise, rise)
You gonna do somethin' about it
Or just stand there and bleed?

[Refrain]
Legends rise

[Chorus]
It's burning down, it's burning high
When ashes fall the legends rise
We burned it out a mile wide
When ashes fall the legends rise

[Outro]
Whoa
Legends rise
Whoa
Legends rise"
The Greatest ShowPanic! At The Disco,"[Verse 1]
(Whoa)
Ladies and gents, this is the moment you've waited for (Whoa)
You’ve been searchin' in the dark
Your sweat soakin' through the floor (Whoa)
And buried in your bones, there’s an ache that you can't ignore
Takin' your breath, stealing your mind
And all that was real is left behind

[Pre-Chorus 1]
Don't fight it, it's comin' for you, runnin' at ya
It's only this moment, don’t care what comes after
Your fever dream, can’t you see it gettin' closer?
Just surrender ’cause you feel the feelin' takin' over
It's fire, it’s freedom, it's floodin' open
It's the preacher in the pulpit and your blind devotion
There's somethin' breakin' at the brick of every wall
It's holdin' all that you know, so tell me do you wanna go?

[Chorus 1]
Where it's covered in all the colored lights
Where the runaways are runnin' the night
Impossible comes true, it's takin' over you
Oh, this is the greatest show
We light it up, we won't come down
And the sun can't stop us now
Watchin' it come true, it's takin' over you
Oh, this is the greatest show

[Verse 2]
(Whoa)
Colossal we come these renegades in the ring (Whoa)
Where the lost get found, and we crown 'em the circus kings

[Pre-Chorus 2]
Don't fight it, it's comin' for you, runnin' at ya
It's only this moment, don't care what comes after
It's blindin', outshinin' anything that you know
Just surrender 'cause you're callin' and you wanna go

[Chorus 2]
Where it's covered in all the colored lights
Where the runaways are runnin' the night
Impossible comes true, intoxicating you
Oh, this is the greatest show
We light it up, we won't come down
And the sun can't stop us now
Watchin' it come true, it's takin' over you
Oh, this is the greatest show

[Chorus 3]
Where it's covered in all the colored lights
Where the runaways are runnin' the night
Impossible comes true, it's takin' over you
Oh, this is the greatest show
We light it up, we won't come down
And the walls can't stop us now
Watchin' it come true, it's takin' over you
